id,px,py,pz,cx,cy,cz,r
207,28.501556,-6.631102,11.695583,29.305371,-6.841931,11.374752,0.890786
208,32.692430,-42.527580,-45.662269,33.009142,-43.159968,-47.339615,1.902079
209,51.227344,1.012659,-51.699084,51.168104,1.914782,-51.913356,0.929111
210,36.934078,-14.613625,-23.068771,37.674522,-15.383623,-22.928762,1.077385
211,-41.423017,-16.544944,-52.234172,-41.694894,-17.149678,-51.773592,0.807313
212,-25.455676,-12.914378,41.739695,-25.073256,-12.272304,42.794399,1.791122
213,13.989119,-20.430357,48.638312,14.130350,-19.127870,48.386982,1.334011
214,-37.275659,36.107809,-36.136944,-37.002052,35.655575,-37.190213,1.564142
215,9.919383,31.496997,38.601548,10.131804,30.319859,38.317205,1.229482
216,40.717602,-25.758512,-13.479826,40.142173,-25.984134,-14.974844,1.617746
217,-14.589115,-15.994657,49.313630,-13.793533,-15.513744,50.024919,1.620828
218,-22.327881,38.909702,-49.438074,-22.762255,38.650199,-48.707155,1.878550
219,16.741630,46.702377,39.875897,16.080811,46.250281,39.285460,1.073782
220,-19.809812,-38.796389,-16.782748,-19.977751,-39.254187,-17.137690,0.603130
221,21.655450,1.627600,-46.301059,20.706599,1.461523,-45.497900,1.254180
222,-50.038592,32.464652,36.149406,-49.359725,32.081964,35.957408,1.186594
223,15.160258,-39.478648,0.301859,15.440099,-39.295210,1.836633,1.579602
224,-20.606298,41.396518,23.119174,-21.714258,41.338807,24.042046,1.602231
225,32.730754,21.398631,39.723184,31.977552,20.163765,39.902078,1.457467
226,17.054272,43.018581,37.402701,16.236795,43.751968,36.405372,2.121127
227,3.633683,-28.702653,-2.236892,2.687181,-28.169875,-1.355209,1.465066
228,-36.802495,-30.527615,36.917399,-38.345723,-29.944834,36.006839,1.884225
229,4.760585,17.765985,-36.894572,3.780560,18.109449,-37.063470,1.052113
230,15.044626,-13.000263,-44.411528,14.404347,-14.171908,-45.404165,1.663742
231,38.847177,-18.926227,-16.198846,40.005042,-18.213652,-15.234769,1.672501
232,4.667412,-36.584783,1.851608,4.427525,-37.642880,1.035278,1.486385
233,-28.164345,16.506761,-10.403351,-29.348253,16.661224,-11.426397,1.667945
234,-10.935158,-3.870029,-23.922028,-11.176108,-3.837189,-25.437236,1.844188
235,17.229118,38.983478,26.395347,16.565755,39.105912,26.592856,0.840059
236,-39.925886,34.029851,-51.032320,-38.780306,33.566791,-50.322284,1.425107
237,14.651765,13.406742,-20.892527,15.651399,13.575868,-20.813999,1.016878
238,38.985466,54.934910,51.186625,38.568225,55.448381,50.181774,1.929046
239,7.624826,12.270050,-32.151957,7.448698,12.818800,-32.335093,0.604720
240,-32.144086,-50.182778,44.200790,-31.628300,-51.207350,44.543840,1.230087
241,48.249214,-10.567912,24.798808,46.964239,-10.542307,24.590231,1.913731
242,-31.401062,25.015860,40.002972,-31.177905,25.317376,39.183801,0.900973
243,-49.460109,28.289602,-27.109960,-50.436550,27.750539,-25.568544,1.902627
244,-16.227487,-49.760292,-6.364010,-16.243622,-49.705500,-6.281443,0.100398
245,36.955252,-16.124825,23.309726,35.107818,-16.839774,23.367818,1.981803
246,35.988130,12.960017,-18.842712,37.888674,13.278234,-19.425046,2.013067
247,3.610023,-48.802891,-41.077517,3.551396,-47.371410,-41.217326,1.833568
248,-8.277415,21.062448,-25.771713,-8.086244,21.110970,-26.290545,1.659197
249,51.292400,-11.611643,2.359514,52.651430,-11.400573,2.182060,1.512304
